Episode,Time steps,Rewards,Tiles,Reward means,Tile means
0,1500.0,-107.99999999999764,14.0,-107.99999999999764,14.0
1,3000.0,-101.99999999999821,16.0,-104.99999999999793,15.0
2,4500.0,-116.99999999999709,11.0,-108.99999999999766,13.666666666666666
3,6000.0,-116.99999999999704,11.0,-110.9999999999975,13.0
4,7500.0,-107.99999999999763,14.0,-110.39999999999752,13.2
5,9000.0,-116.99999999999703,11.0,-111.49999999999744,12.833333333333334
6,10500.0,-116.99999999999721,11.0,-112.28571428571169,12.571428571428571
7,12000.0,-104.99999999999757,15.0,-111.37499999999743,12.875
8,13500.0,-122.99999999999707,9.0,-112.66666666666406,12.444444444444445
9,15000.0,-113.99999999999748,12.0,-112.79999999999741,12.4
10,16500.0,-113.99999999999726,12.0,-112.9090909090883,12.363636363636363
11,18000.0,-110.99999999999764,13.0,-112.7499999999974,12.416666666666666
12,19500.0,-116.9999999999969,11.0,-113.07692307692045,12.307692307692308
13,21000.0,-107.99999999999766,14.0,-112.7142857142831,12.428571428571429
14,22500.0,-104.9999999999974,15.0,-112.19999999999739,12.6
15,24000.0,-107.99999999999719,14.0,-111.93749999999737,12.6875
16,25500.0,-104.99999999999791,15.0,-111.52941176470328,12.823529411764707
17,26985.0,-139.3999999999982,13.0,-113.07777777777522,12.833333333333334
18,28485.0,-107.99999999999743,14.0,-112.81052631578692,12.894736842105264
19,29985.0,-101.99999999999763,16.0,-112.26999999999745,13.05
20,31485.0,-101.99999999999797,16.0,-111.96999999999748,13.15
21,32985.0,-98.99999999999814,17.0,-111.81999999999746,13.2
22,34485.0,-107.9999999999977,14.0,-111.3699999999975,13.35
23,35985.0,-113.99999999999726,12.0,-111.2199999999975,13.4
24,37485.0,-110.99999999999724,13.0,-111.36999999999748,13.35
25,38713.0,-101.7000000000007,17.0,-110.60499999999767,13.65
26,40213.0,-110.99999999999787,13.0,-110.30499999999772,13.75
27,41713.0,-113.999999999997,12.0,-110.75499999999768,13.6
28,43213.0,-101.99999999999821,16.0,-109.70499999999774,13.95
