Episode,Time steps,Rewards,Tiles,Reward means,Tile means
29,43656.0,-66.30000000000038,16.0,-111.3249999999978,13.15
30,44879.0,-110.29999999999983,14.0,-111.13999999999791,13.25
31,46379.0,-101.99999999999831,16.0,-110.38999999999794,13.5
32,47879.0,-119.99999999999724,10.0,-110.23999999999799,13.55
33,48389.0,-38.9999999999999,14.0,-106.9399999999981,13.5
34,49889.0,-107.99999999999676,14.0,-106.33999999999799,13.5
35,50453.0,-44.39999999999991,14.0,-102.85999999999812,13.6
36,51953.0,-74.99999999999983,25.0,-101.8099999999982,13.95
37,53411.0,-133.79999999999725,14.0,-103.24999999999815,13.9
38,54724.0,-119.29999999999866,14.0,-103.68999999999815,13.9
39,55946.0,-107.19999999999973,15.0,-102.66999999999825,13.95
40,57160.0,-109.39999999999984,14.0,-102.58999999999835,14.0
41,58354.0,-104.39999999999942,15.0,-101.55499999999842,14.05
42,59128.0,-62.40000000000042,15.0,-99.27499999999856,14.1
43,60628.0,-86.99999999999787,21.0,-97.9249999999986,14.55
44,61381.0,-57.30000000000032,16.0,-95.23999999999873,14.7
45,62881.0,-104.99999999999783,15.0,-95.23999999999877,14.7
46,63789.0,-78.80000000000078,14.0,-93.32999999999895,14.85
47,65289.0,-107.99999999999707,14.0,-92.72999999999894,15.05
48,66685.0,-127.59999999999782,14.0,-93.25999999999897,15.2
49,68185.0,-116.99999999999726,11.0,-95.79499999999881,14.95
50,68817.0,-48.20000000000007,15.0,-92.68999999999882,15.0
51,70317.0,-122.99999999999685,9.0,-93.73999999999874,14.65
52,71817.0,-110.99999999999685,13.0,-93.28999999999873,14.8
53,73317.0,-101.99999999999753,16.0,-96.4399999999986,14.9
54,74817.0,-119.99999999999685,10.0,-97.0399999999986,14.7
55,76193.0,-128.49999999999818,13.0,-101.24499999999851,14.65
56,76942.0,-62.900000000000105,14.0,-100.63999999999854,14.1
57,77526.0,-43.39999999999987,15.0,-96.11999999999867,14.15
58,78026.0,-34.99999999999991,15.0,-91.90499999999874,14.2
59,79054.0,-90.80000000000096,14.0,-91.08499999999879,14.15
60,79933.0,-69.90000000000043,16.0,-89.10999999999882,14.25
61,81433.0,-104.99999999999793,15.0,-89.13999999999875,14.25
62,82174.0,-59.10000000000035,15.0,-88.97499999999874,14.25
63,83585.0,-134.99999999999798,12.0,-91.37499999999875,13.8
64,84290.0,-58.50000000000005,14.0,-91.43499999999872,13.7
65,85790.0,-92.99999999999913,19.0,-90.8349999999988,13.9
66,86253.0,-34.29999999999996,14.0,-88.60999999999875,13.9
67,87699.0,-114.49999999999852,20.0,-88.93499999999884,14.2
68,88404.0,-55.50000000000025,15.0,-85.32999999999895,14.25
69,89702.0,-105.70000000000056,18.0,-84.7649999999991,14.6
70,90257.0,-40.49999999999989,15.0,-84.37999999999911,14.6
71,91757.0,-95.99999999999889,18.0,-83.0299999999992,15.05
72,92397.0,-48.999999999999936,15.0,-79.92999999999935,15.15
73,93897.0,-98.99999999999804,17.0,-79.77999999999939,15.2
74,95397.0,-110.99999999999659,13.0,-79.32999999999939,15.35
75,96897.0,-101.9999999999977,16.0,-78.00499999999936,15.5
76,97267.0,-33.899999999999956,11.0,-76.55499999999935,15.35
77,97547.0,-15.999999999999952,14.0,-75.18499999999935,15.3
78,98288.0,-62.10000000000046,14.0,-76.53999999999937,15.25
79,99788.0,-89.99999999999841,20.0,-76.49999999999925,15.55
80,100251.0,-31.299999999999947,15.0,-74.56999999999923,15.5
81,101751.0,-95.99999999999862,18.0,-74.11999999999925,15.65
82,103040.0,-89.80000000000135,23.0,-75.6549999999993,16.05
83,103584.0,-39.39999999999994,15.0,-70.8749999999994,16.2
84,105084.0,-95.99999999999925,18.0,-72.74999999999936,16.4
85,105398.0,-22.299999999999955,13.0,-69.2149999999994,16.1
86,105767.0,-24.899999999999928,14.0,-68.74499999999941,16.1
87,106245.0,-35.799999999999976,14.0,-64.80999999999948,15.8
88,107745.0,-98.99999999999814,17.0,-66.98499999999936,15.9
89,109245.0,-80.99999999999986,23.0,-65.74999999999935,16.15
90,109739.0,-37.39999999999992,14.0,-65.59499999999933,16.1
91,110405.0,-48.5999999999999,16.0,-63.22499999999938,16.0
92,110701.0,-17.599999999999945,14.0,-61.65499999999939,15.95
93,111095.0,-27.399999999999874,14.0,-58.07499999999948,15.8
94,111573.0,-35.7999999999999,14.0,-54.31499999999964,15.85
95,112492.0,-61.800000000000125,20.0,-52.304999999999765,16.05
96,113080.0,-40.79999999999986,16.0,-52.649999999999764,16.3
97,114580.0,-77.99999999999982,24.0,-55.74999999999975,16.8
98,116080.0,-74.99999999999991,25.0,-56.39499999999973,17.35
99,117266.0,-70.50000000000077,26.0,-55.419999999999845,17.65
100,118766.0,-98.99999999999865,17.0,-58.804999999999794,17.75
101,119195.0,-30.899999999999945,14.0,-55.549999999999855,17.55
102,119549.0,-23.400000000000006,14.0,-52.22999999999979,17.1
103,120437.0,-19.700000000000525,33.0,-51.24499999999981,18.0
104,120825.0,-11.700000000000003,19.0,-47.029999999999845,18.05
105,121160.0,-21.499999999999936,14.0,-46.989999999999846,18.1
106,122660.0,-86.99999999999947,21.0,-50.09499999999983,18.45
107,124160.0,-83.99999999999963,22.0,-52.50499999999981,18.85
108,125007.0,-27.599999999999845,29.0,-48.934999999999896,19.45
109,126507.0,-77.99999999999939,24.0,-48.78499999999987,19.5
110,128007.0,-86.99999999999905,21.0,-51.26499999999983,19.85
111,128562.0,-25.399999999999807,20.0,-50.104999999999826,20.05
112,128924.0,-24.19999999999988,14.0,-50.43499999999982,20.05
113,129735.0,-36.00000000000001,25.0,-50.864999999999824,20.6
114,130971.0,-69.50000000000045,28.0,-52.549999999999855,21.3
115,131514.0,-27.20000000000018,19.0,-50.81999999999985,21.25
