Episode,Time steps,Rewards,Tiles,Reward means,Tile means
0,1500.0,-107.99999999999764,14.0,-107.99999999999764,14.0
1,3000.0,-101.99999999999821,16.0,-104.99999999999793,15.0
2,4500.0,-116.9999999999971,11.0,-108.99999999999766,13.666666666666666
3,6000.0,-116.99999999999706,11.0,-110.9999999999975,13.0
4,7500.0,-110.99999999999753,13.0,-110.9999999999975,13.0
5,9000.0,-116.9999999999969,11.0,-111.9999999999974,12.666666666666666
6,10500.0,-116.99999999999726,11.0,-112.7142857142831,12.428571428571429
7,12000.0,-110.9999999999972,13.0,-112.49999999999736,12.5
8,13500.0,-116.9999999999974,11.0,-112.99999999999737,12.333333333333334
9,15000.0,-110.99999999999748,13.0,-112.79999999999738,12.4
10,16500.0,-116.99999999999706,11.0,-113.18181818181553,12.272727272727273
11,18000.0,-113.99999999999766,12.0,-113.24999999999737,12.25
12,19500.0,-116.99999999999685,11.0,-113.53846153845888,12.153846153846153
13,21000.0,-104.9999999999979,15.0,-112.9285714285688,12.357142857142858
14,22432.0,-128.1999999999982,15.0,-113.94666666666409,12.533333333333333
15,23932.0,-116.999999999997,11.0,-114.1374999999974,12.4375
16,25432.0,-95.99999999999831,18.0,-113.07058823529158,12.764705882352942
17,26932.0,-104.99999999999753,15.0,-112.62222222221969,12.88888888888889
18,28415.0,-133.29999999999737,15.0,-113.71052631578694,13.0
19,29912.0,-134.69999999999752,15.0,-114.75999999999746,13.1
20,31412.0,-107.99999999999748,14.0,-114.75999999999745,13.1
21,32912.0,-110.99999999999693,13.0,-115.20999999999738,12.95
22,34412.0,-107.99999999999768,14.0,-114.75999999999742,13.1
23,35912.0,-113.99999999999727,12.0,-114.60999999999743,13.15
24,37412.0,-104.99999999999811,15.0,-114.30999999999744,13.25
25,38469.0,-87.70000000000104,16.0,-112.84499999999767,13.5
26,39880.0,-126.0999999999982,15.0,-113.29999999999771,13.7
27,41380.0,-119.99999999999704,10.0,-113.7499999999977,13.55
28,42880.0,-113.99999999999736,12.0,-113.5999999999977,13.6
