Episode,Time steps,Rewards,Tiles,Reward means,Tile means
0,1500.0,-113.99999999999727,12.0,,
1,3000.0,-116.99999999999703,11.0,,
2,4500.0,-113.99999999999743,12.0,,
3,5739.0,-120.79999999999893,11.0,,
4,7239.0,-110.99999999999764,13.0,,
5,8739.0,-113.9999999999972,12.0,,
6,10239.0,-107.99999999999727,14.0,,
7,11739.0,-89.99999999999815,20.0,,
8,13239.0,-122.99999999999709,9.0,,
9,14739.0,-101.99999999999689,16.0,,
10,16239.0,-128.99999999999648,7.0,,
11,17739.0,-125.99999999999683,8.0,,
12,18692.0,-80.30000000000081,15.0,,
13,19010.0,-16.79999999999992,15.0,,
14,19838.0,-70.70000000000024,14.0,,
15,20776.0,-78.80000000000067,15.0,,
16,21291.0,-36.49999999999996,15.0,,
17,22791.0,-137.99999999999625,4.0,,
18,24291.0,-98.99999999999794,17.0,,
19,25791.0,-63.000000000001414,29.0,-97.59499999999827,13.45
20,26326.0,-29.399999999999892,18.0,-93.3649999999984,13.75
21,26652.0,-17.599999999999895,15.0,-88.39499999999853,13.95
22,27127.0,-32.49999999999998,15.0,-84.31999999999866,14.1
23,27406.0,-12.900000000000162,15.0,-78.92499999999873,14.3
24,27660.0,-10.399999999999974,15.0,-73.89499999999884,14.4
25,28062.0,-25.19999999999995,15.0,-69.45499999999899,14.55
26,28334.0,-12.200000000000205,15.0,-64.66499999999914,14.6
27,29327.0,-84.30000000000054,15.0,-64.37999999999926,14.35
28,29972.0,-1.4000000000004178,31.0,-58.29999999999942,15.45
29,31472.0,-134.99999999999665,5.0,-59.949999999999406,14.9
30,32972.0,-131.99999999999682,6.0,-60.09999999999943,14.85
31,33240.0,-11.800000000000018,15.0,-54.38999999999959,15.2
32,33481.0,-9.099999999999959,15.0,-50.82999999999954,15.2
33,33655.0,-2.4000000000001194,15.0,-50.10999999999955,15.2
34,34178.0,22.69999999999974,35.0,-45.43999999999956,16.25
35,34347.0,-1.900000000000027,15.0,-41.59499999999952,16.25
36,35847.0,-125.9999999999969,8.0,-46.069999999999375,15.9
37,36197.0,-34.899999999999935,10.0,-40.91499999999955,16.2
38,36585.0,-23.699999999999946,15.0,-37.14999999999965,16.1
39,38085.0,-119.99999999999727,10.0,-39.999999999999446,15.15
40,38505.0,-26.89999999999996,15.0,-39.874999999999446,15.0
41,38643.0,1.199999999999946,15.0,-38.934999999999455,15.0
42,38780.0,-4.600000000000016,13.0,-37.53999999999946,14.9
43,38918.0,1.199999999999946,15.0,-36.834999999999454,14.9
44,39109.0,-4.100000000000136,15.0,-36.51999999999946,14.9
45,39237.0,2.19999999999996,15.0,-35.14999999999947,14.9
46,39481.0,-9.40000000000007,15.0,-35.00999999999946,14.9
47,39654.0,-2.300000000000015,15.0,-30.909999999999435,14.9
48,39781.0,2.2999999999999616,15.0,-30.724999999999415,14.1
