Episode,Time steps,Rewards,Tiles,Reward means,Tile means
29,44592.0,-115.39999999999912,14.0,-113.17999999999753,13.1
30,45602.0,-89.00000000000102,14.0,-111.77999999999773,13.25
31,47102.0,-101.99999999999821,16.0,-111.17999999999779,13.45
32,48602.0,-104.9999999999969,15.0,-110.72999999999777,13.6
33,50069.0,-134.69999999999808,14.0,-112.06499999999778,13.6
34,51524.0,-133.4999999999979,14.0,-112.08999999999779,13.55
35,53024.0,-116.99999999999716,11.0,-112.38999999999778,13.45
36,54524.0,-116.99999999999706,11.0,-112.98999999999776,13.25
37,56024.0,-116.99999999999704,11.0,-113.28999999999773,13.15
38,57524.0,-113.99999999999741,12.0,-113.43999999999774,13.1
39,59024.0,-104.99999999999743,15.0,-113.13999999999776,13.2
40,60524.0,-95.99999999999795,18.0,-112.38999999999778,13.45
41,62024.0,-101.99999999999851,16.0,-111.78999999999785,13.65
42,63524.0,-110.99999999999763,13.0,-111.93999999999785,13.6
43,65024.0,-104.99999999999785,15.0,-111.48999999999788,13.75
44,66187.0,-101.30000000000062,15.0,-110.70499999999804,13.95
45,67630.0,-129.29999999999754,15.0,-112.21999999999798,13.85
46,69130.0,-98.99999999999748,17.0,-111.319999999998,14.15
47,70630.0,-116.99999999999706,11.0,-111.46999999999801,14.1
48,72130.0,-119.99999999999712,10.0,-111.50999999999797,13.85
49,73309.0,-102.90000000000022,15.0,-110.88499999999802,13.9
50,74809.0,-119.99999999999683,10.0,-112.43499999999781,13.7
51,76138.0,-111.79999999999849,17.0,-112.92499999999782,13.75
52,77638.0,-101.99999999999771,16.0,-112.77499999999785,13.8
53,78343.0,-55.50000000000041,15.0,-108.81499999999797,13.85
54,79843.0,-113.99999999999753,12.0,-107.83999999999796,13.75
55,81343.0,-104.99999999999741,15.0,-107.23999999999796,13.95
56,82378.0,-91.50000000000107,14.0,-105.96499999999817,14.1
57,83878.0,-107.99999999999787,14.0,-105.51499999999821,14.25
58,85378.0,-104.99999999999743,15.0,-105.06499999999821,14.4
59,86878.0,-110.99999999999723,13.0,-105.36499999999822,14.3
60,87376.0,-34.79999999999991,15.0,-102.3049999999983,14.15
61,88876.0,-113.99999999999727,12.0,-102.90499999999822,13.95
62,89918.0,-92.20000000000101,14.0,-101.96499999999841,14.0
63,91204.0,-113.59999999999971,15.0,-102.39499999999849,14.0
64,92704.0,-110.99999999999777,13.0,-102.87999999999836,13.9
65,94204.0,-104.9999999999978,15.0,-101.66499999999837,13.9
66,95704.0,-116.9999999999969,11.0,-102.56499999999835,13.6
67,97204.0,-119.99999999999706,10.0,-102.71499999999835,13.55
68,98704.0,-98.9999999999977,17.0,-101.66499999999836,13.9
69,100204.0,-63.00000000000078,29.0,-99.6699999999984,14.6
70,100734.0,-40.9999999999999,14.0,-95.71999999999855,14.8
71,102234.0,-116.99999999999704,11.0,-95.97999999999847,14.5
72,103734.0,-107.99999999999743,14.0,-96.27999999999847,14.4
73,105234.0,-98.9999999999975,17.0,-98.45499999999832,14.5
74,106734.0,-95.9999999999992,18.0,-97.55499999999839,14.8
75,108234.0,-95.99999999999747,18.0,-97.1049999999984,14.95
76,109734.0,-113.99999999999747,12.0,-98.22999999999823,14.85
77,111234.0,-113.99999999999702,12.0,-98.52999999999818,14.75
78,111718.0,-36.399999999999935,14.0,-95.0999999999983,14.7
79,113218.0,-107.99999999999766,14.0,-94.94999999999833,14.75
80,113400.0,-3.2000000000000135,15.0,-93.36999999999833,14.75
81,114900.0,-95.99999999999933,18.0,-92.46999999999844,15.05
82,115520.0,-46.99999999999999,15.0,-90.20999999999839,15.1
83,115769.0,-12.900000000000013,14.0,-85.17499999999839,15.05
84,116104.0,-18.499999999999893,15.0,-80.5499999999985,15.15
85,117604.0,-113.99999999999719,12.0,-80.99999999999848,15.0
86,119104.0,-107.99999999999734,14.0,-80.5499999999985,15.15
87,119869.0,-64.50000000000028,14.0,-77.77499999999866,15.35
88,121369.0,-101.99999999999774,16.0,-77.92499999999866,15.3
89,122072.0,-55.300000000000544,15.0,-77.53999999999864,14.6
90,123572.0,-110.99999999999773,13.0,-81.03999999999854,14.55
91,125072.0,-122.9999999999969,9.0,-81.33999999999853,14.45
92,125498.0,-27.599999999999962,15.0,-77.31999999999866,14.5
93,125926.0,-30.800000000000008,14.0,-73.90999999999879,14.35
94,126234.0,-12.800000000000203,16.0,-69.74999999999883,14.25
95,127734.0,-107.9999999999977,14.0,-70.34999999999886,14.05
96,127989.0,-7.499999999999961,16.0,-65.02499999999898,14.25
97,129202.0,-49.300000000000075,34.0,-61.789999999999125,15.35
98,130702.0,-107.99999999999754,14.0,-65.36999999999901,15.35
99,132202.0,-110.99999999999748,13.0,-65.51999999999899,15.3
100,133702.0,-104.99999999999787,15.0,-70.60999999999889,15.3
101,135202.0,-116.99999999999733,11.0,-71.65999999999879,14.95
102,136702.0,-113.9999999999972,12.0,-75.00999999999866,14.8
103,138202.0,-119.999999999997,10.0,-80.3649999999985,14.6
104,139489.0,-56.70000000000018,34.0,-82.27499999999851,15.55
105,140989.0,-98.99999999999875,17.0,-81.52499999999858,15.8
106,141419.0,-24.999999999999982,16.0,-77.37499999999872,15.9
107,141648.0,-7.8999999999999915,15.0,-74.54499999999871,15.95
108,143148.0,-63.000000000000654,29.0,-72.59499999999886,16.6
109,143388.0,-12.00000000000001,14.0,-70.42999999999883,16.55
110,144888.0,-119.99999999999704,10.0,-70.87999999999879,16.4
111,146388.0,-122.99999999999676,9.0,-70.87999999999879,16.4
112,147888.0,-95.99999999999874,18.0,-74.29999999999873,16.55
113,149388.0,-122.99999999999663,9.0,-78.90999999999855,16.3
114,150888.0,-104.9999999999987,15.0,-83.51999999999848,16.25
115,152388.0,-72.00000000000054,26.0,-81.71999999999862,16.85
116,153888.0,-89.99999999999932,20.0,-85.84499999999858,17.05
117,155388.0,-110.99999999999754,13.0,-88.92999999999846,16.0
118,156888.0,-110.99999999999727,13.0,-89.07999999999845,15.95
119,158388.0,-92.99999999999895,19.0,-88.17999999999853,16.25
120,158903.0,-0.400000000000297,27.0,-82.94999999999865,16.85
121,159195.0,-17.199999999999935,14.0,-77.95999999999877,17.0
122,160695.0,-98.99999999999831,17.0,-77.20999999999883,17.25
123,162195.0,-119.9999999999969,10.0,-77.20999999999881,17.25
124,163695.0,-48.00000000000132,34.0,-76.77499999999888,17.25
125,165033.0,-58.80000000000039,35.0,-74.76499999999896,18.15
126,166533.0,-86.99999999999936,21.0,-77.86499999999893,18.4
127,167433.0,-12.000000000000583,36.0,-78.06999999999897,19.45
128,168933.0,-83.99999999999932,22.0,-79.1199999999989,19.1
129,170433.0,-89.99999999999929,20.0,-83.01999999999886,19.4
130,171933.0,-75.00000000000134,35.0,-80.76999999999907,20.65
131,173433.0,-92.99999999999883,19.0,-79.26999999999917,21.15
132,174933.0,-92.9999999999992,19.0,-79.11999999999921,21.2
133,176433.0,-48.00000000000045,34.0,-75.36999999999941,22.45
134,176766.0,-18.30000000000019,15.0,-71.03499999999947,22.45
135,178266.0,-92.99999999999943,19.0,-72.08499999999941,22.1
136,178984.0,39.2999999999999,47.0,-65.61999999999945,23.45
137,179227.0,-9.299999999999947,15.0,-60.53499999999957,23.55
138,179450.0,-10.300000000000047,14.0,-55.499999999999716,23.6
139,180950.0,-80.99999999999986,23.0,-54.899999999999764,23.8
140,181416.0,25.399999999999885,34.0,-53.60999999999975,24.15
141,182916.0,-113.99999999999727,12.0,-58.44999999999961,24.05
142,184416.0,-101.99999999999832,16.0,-58.59999999999961,24.0
143,184682.0,12.49999999999978,23.0,-51.974999999999774,24.65
144,184836.0,-3.400000000000002,14.0,-49.74499999999971,23.65
145,185063.0,-7.70000000000001,15.0,-47.18999999999969,22.65
146,185439.0,19.499999999999687,29.0,-41.86499999999974,23.05
147,185581.0,-2.2000000000000206,14.0,-41.374999999999716,21.95
148,186969.0,-102.70000000000064,22.0,-42.30999999999978,21.95
149,187892.0,-26.200000000000447,32.0,-39.11999999999984,22.55
150,189392.0,-92.99999999999906,19.0,-40.01999999999972,21.75
151,189546.0,-3.4000000000000554,14.0,-35.539999999999786,21.5
152,191046.0,-86.99999999999969,21.0,-35.23999999999981,21.6
153,192002.0,-62.50000000000055,21.0,-35.96499999999982,20.95
154,193502.0,-83.99999999999955,22.0,-39.24999999999979,21.3
155,194092.0,91.10000000000178,60.0,-30.04499999999972,23.35
156,194455.0,14.799999999999642,27.0,-31.269999999999733,22.35
157,194686.0,24.999999999999815,26.0,-29.554999999999744,22.9
158,194834.0,-2.8000000000000043,14.0,-29.17999999999974,22.9
159,195335.0,46.0000000000006,42.0,-22.82999999999972,23.85
160,195478.0,-2.3000000000000256,14.0,-24.214999999999716,22.85
161,195599.0,2.89999999999997,15.0,-18.369999999999852,23.0
162,196394.0,-40.400000000000475,23.0,-15.28999999999996,23.35
163,196594.0,13.099999999999909,21.0,-15.259999999999954,23.25
164,196771.0,9.399999999999928,19.0,-14.619999999999958,23.5
165,197056.0,4.599999999999831,21.0,-14.004999999999967,23.8
166,197181.0,-0.5000000000000213,14.0,-15.004999999999953,23.05
167,197797.0,-25.50000000000048,22.0,-16.169999999999973,23.45
168,197930.0,1.6999999999999744,15.0,-10.949999999999944,23.1
169,198050.0,-2.842170943040401e-14,14.0,-9.639999999999922,22.2
170,198300.0,32.0999999999998,29.0,-3.3849999999999802,22.7
171,198482.0,-6.20000000000001,14.0,-3.5249999999999786,22.7
172,198597.0,0.4999999999999716,14.0,0.8500000000000046,22.35
173,199908.0,-68.00000000000085,31.0,0.5749999999999893,22.85
174,200084.0,21.49999999999988,23.0,5.849999999999961,22.9
175,200698.0,-22.300000000000615,23.0,0.17999999999984057,21.05
176,200881.0,14.799999999999862,21.0,0.17999999999985156,20.75
177,201899.0,-62.70000000000063,23.0,-4.205000000000171,20.6
178,202186.0,31.399999999999743,30.0,-2.495000000000183,21.4
179,202693.0,-5.600000000000541,25.0,-5.07500000000024,20.55
180,202817.0,2.5999999999999375,15.0,-4.830000000000242,20.6
181,202927.0,0.9999999999999645,14.0,-4.925000000000242,20.55
182,204427.0,-80.99999999999983,23.0,-6.95500000000021,20.55
183,204695.0,15.299999999999763,24.0,-6.845000000000217,20.7
184,204802.0,1.2999999999999652,14.0,-7.250000000000215,20.45
185,205003.0,9.999999999999844,20.0,-6.9800000000002145,20.4
186,205147.0,0.5999999999999055,15.0,-6.925000000000219,20.45
187,205334.0,17.39999999999985,22.0,-4.780000000000202,20.45
188,205444.0,0.9999999999999645,14.0,-4.815000000000202,20.4
189,205624.0,15.099999999999874,21.0,-4.060000000000207,20.75
190,205845.0,10.999999999999815,21.0,-5.115000000000206,20.35
191,206017.0,-5.2000000000000846,14.0,-5.06500000000021,20.35
192,206183.0,16.49999999999988,21.0,-4.2650000000002155,20.7
193,206373.0,17.099999999999845,22.0,-0.010000000000180443,20.25
194,206636.0,6.799999999999841,21.0,-0.7450000000001824,20.15
195,206912.0,14.499999999999751,24.0,1.0949999999998359,20.2
196,207093.0,20.999999999999858,23.0,1.4049999999998357,20.3
197,207339.0,23.499999999999737,26.0,5.714999999999854,20.45
198,207521.0,-6.100000000000033,14.0,3.839999999999865,19.65
199,207931.0,7.099999999999582,26.0,4.474999999999872,19.7
200,208118.0,26.39999999999987,25.0,5.664999999999868,20.2
201,208324.0,9.499999999999872,20.0,6.089999999999863,20.5
202,208481.0,20.399999999999892,22.0,11.159999999999851,20.45
203,208864.0,42.80000000000001,37.0,12.534999999999862,21.1
204,209093.0,10.199999999999832,21.0,12.979999999999857,21.45
205,209286.0,-4.20000000000007,15.0,12.26999999999986,21.2
206,209529.0,11.79999999999989,22.0,12.82999999999986,21.55
207,209768.0,36.199999999999946,30.0,13.769999999999863,21.95
208,210122.0,60.70000000000064,42.0,16.7549999999999,23.35
209,210243.0,-0.10000000000006537,14.0,15.9949999999999,23.0
210,210487.0,20.69999999999977,25.0,16.479999999999897,23.2
211,210694.0,30.399999999999814,27.0,18.259999999999895,23.85
212,212164.0,45.00000000000602,74.0,19.685000000000198,26.5
213,212336.0,30.89999999999985,26.0,20.3750000000002,26.7
214,212640.0,56.7000000000003,39.0,22.870000000000225,27.6
215,212833.0,16.799999999999834,22.0,22.98500000000023,27.5
216,213051.0,17.299999999999805,23.0,22.800000000000225,27.5
217,213304.0,37.79999999999998,31.0,23.515000000000235,27.75
218,213482.0,18.29999999999987,22.0,24.735000000000234,28.15
219,213613.0,1.899999999999899,15.0,24.47500000000025,27.6
220,213727.0,0.599999999999973,14.0,23.185000000000255,27.05
221,213831.0,1.599999999999966,14.0,22.79000000000026,26.75
222,214035.0,21.69999999999984,24.0,22.855000000000256,26.85
223,214258.0,13.799999999999791,22.0,21.405000000000243,26.1
224,214437.0,15.199999999999868,21.0,21.655000000000246,26.1
225,214635.0,13.299999999999876,21.0,22.530000000000246,26.4
226,214872.0,21.39999999999977,25.0,23.01000000000024,26.55
227,215047.0,12.599999999999866,20.0,21.830000000000233,26.05
228,215147.0,1.9999999999999645,14.0,18.895000000000202,24.65
229,215281.0,-1.4000000000000128,14.0,18.830000000000204,24.65
230,215386.0,1.4999999999999716,14.0,17.870000000000214,24.1
231,215577.0,13.999999999999865,21.0,17.050000000000214,23.8
232,215757.0,15.099999999999852,21.0,15.554999999999907,21.15
233,215925.0,16.29999999999987,21.0,14.824999999999909,20.9
234,216022.0,2.2999999999999687,14.0,12.104999999999892,19.65
235,216257.0,21.599999999999824,25.0,12.34499999999989,19.8
236,216444.0,14.399999999999864,21.0,12.199999999999893,19.7
237,216738.0,48.70000000000013,36.0,12.744999999999902,19.95
238,216933.0,46.60000000000005,32.0,14.159999999999908,20.45
239,217052.0,0.09999999999993747,14.0,14.069999999999911,20.4
240,217257.0,12.599999999999817,21.0,14.669999999999902,20.75
241,217490.0,15.799999999999834,23.0,15.379999999999896,21.2
242,217742.0,13.89999999999975,23.0,14.989999999999892,21.15
243,217925.0,20.799999999999855,23.0,15.339999999999895,21.2
244,218027.0,1.7999999999999616,14.0,14.669999999999902,20.85
245,218231.0,15.699999999999875,22.0,14.789999999999901,20.9
246,218405.0,18.699999999999868,22.0,14.654999999999905,20.75
247,218503.0,2.1999999999999673,14.0,14.134999999999911,20.45
248,218602.0,5.099999999999945,15.0,14.28999999999991,20.5
249,218700.0,2.1999999999999673,14.0,14.469999999999908,20.5
250,218798.0,2.1999999999999673,14.0,14.504999999999907,20.5
251,219024.0,22.499999999999787,25.0,14.929999999999904,20.7
252,219203.0,-5.900000000000006,14.0,13.879999999999914,20.35
253,219416.0,14.79999999999982,22.0,13.804999999999907,20.4
254,219587.0,-5.100000000000136,14.0,13.434999999999903,20.4
255,219898.0,56.00000000000031,39.0,15.154999999999927,21.1
256,219996.0,2.1999999999999673,14.0,14.544999999999934,20.75
257,220115.0,0.099999999999973,14.0,12.114999999999926,19.65
258,220425.0,56.100000000000335,39.0,12.58999999999994,20.0
259,220540.0,-5.400000000000041,12.0,12.31499999999994,19.9
260,220824.0,43.69999999999993,34.0,13.869999999999948,20.55
261,220971.0,-5.600000000000019,13.0,12.799999999999955,20.05
262,221110.0,-4.800000000000026,13.0,11.864999999999965,19.55
263,221259.0,-5.800000000000082,13.0,10.534999999999968,19.05
264,221357.0,2.1999999999999673,14.0,10.554999999999968,19.05
265,221456.0,5.099999999999945,15.0,10.024999999999972,18.7
266,221766.0,56.10000000000031,39.0,11.894999999999992,19.55
267,221875.0,-1.8000000000000398,13.0,11.694999999999993,19.5
268,221973.0,5.199999999999946,15.0,11.699999999999994,19.5
269,222093.0,-2.9000000000000625,13.0,11.444999999999991,19.45
270,222402.0,59.20000000000036,40.0,14.29500000000001,20.75
271,222718.0,61.500000000000355,41.0,16.24500000000004,21.55
272,222889.0,-5.000000000000135,14.0,16.29000000000003,21.55
273,223189.0,24.09999999999968,28.0,16.755000000000027,21.85
274,223532.0,55.80000000000027,40.0,19.800000000000047,23.15
275,223832.0,57.10000000000031,39.0,19.855000000000047,23.15
276,223985.0,23.79999999999987,23.0,20.93500000000004,23.6
277,224084.0,-3.8000000000000327,12.0,20.74000000000004,23.5
278,224225.0,-8.00000000000001,12.0,17.535000000000025,22.15
279,224324.0,-9.800000000000011,10.0,17.315000000000026,22.05
280,224435.0,-5.000000000000032,12.0,14.880000000000027,20.95
281,224549.0,-5.300000000000026,12.0,14.895000000000028,20.9
282,224726.0,15.39999999999987,21.0,15.90500000000002,21.3
283,225075.0,58.20000000000027,41.0,19.10500000000004,22.7
284,225244.0,16.199999999999868,21.0,19.805000000000035,23.05
285,225554.0,59.100000000000335,40.0,22.505000000000052,24.3
286,225787.0,12.799999999999777,22.0,20.340000000000025,23.45
287,226117.0,54.10000000000022,39.0,23.13500000000004,24.75
288,226449.0,68.90000000000049,44.0,26.32000000000007,26.2
289,226620.0,18.999999999999865,22.0,27.415000000000067,26.65
290,226718.0,2.1999999999999673,14.0,24.565000000000047,25.35
291,226821.0,7.699999999999939,16.0,21.87500000000002,24.1
292,227021.0,22.099999999999838,24.0,23.230000000000025,24.6
293,228521.0,27.000000000004647,59.0,23.375000000000274,26.15
294,230021.0,96.00000000000747,82.0,25.385000000000634,28.25
295,231521.0,3.010147686666187e-12,50.0,22.530000000000765,28.8
296,233021.0,90.00000000000716,80.0,25.840000000001133,31.65
297,233133.0,0.8999999999999488,14.0,26.075000000001125,31.75
298,233244.0,-2.0000000000000497,13.0,26.37500000000113,31.8
299,233474.0,-4.900000000000123,16.0,26.620000000001124,32.1
300,233646.0,33.899999999999906,27.0,28.565000000001117,32.85
301,233867.0,40.99999999999996,31.0,30.88000000000112,33.8
302,235367.0,135.00000000000713,95.0,36.86000000000148,37.5
303,235896.0,148.20000000000164,77.0,41.36000000000155,39.3
304,236011.0,0.5999999999999446,14.0,40.58000000000156,38.95
305,236669.0,111.30000000000231,69.0,43.19000000000166,40.4
306,236906.0,42.39999999999995,32.0,44.67000000000166,40.9
307,237082.0,33.4999999999999,27.0,43.64000000000165,40.3
308,237323.0,51.00000000000003,35.0,42.745000000001625,39.85
309,237727.0,70.70000000000091,47.0,45.330000000001675,41.1
310,239227.0,2.612243754640531e-12,50.0,45.220000000001804,42.9
311,239518.0,-17.0999999999999,14.0,43.980000000001816,42.8
312,239717.0,22.19999999999986,24.0,43.98500000000182,42.8
313,239954.0,42.39999999999995,32.0,44.75500000000158,41.45
314,240268.0,-10.300000000000143,17.0,39.440000000001206,38.2
315,240504.0,39.49999999999994,31.0,41.415000000001044,37.25
316,240785.0,-16.099999999999902,14.0,36.11000000000069,33.95
317,241076.0,-17.0999999999999,14.0,35.2100000000007,33.95
318,241471.0,95.60000000000079,55.0,40.09000000000074,36.05
319,241762.0,-17.0999999999999,14.0,39.48000000000075,35.95
320,243262.0,-107.99999999999747,14.0,32.385000000000886,35.3
321,243664.0,106.90000000000086,59.0,35.68000000000093,36.7
322,243896.0,33.89999999999981,29.0,30.62500000000057,33.4
