Episode,Time steps,Rewards,Tiles,Reward means,Tile means
0,1500.0,-107.99999999999784,14.0,-107.99999999999784,14.0
1,3000.0,-110.99999999999753,13.0,-109.49999999999768,13.5
2,4500.0,-113.99999999999704,12.0,-110.99999999999746,13.0
3,5833.0,-109.29999999999896,18.0,-110.57499999999784,14.25
4,7333.0,-116.99999999999739,11.0,-111.85999999999777,13.6
5,8833.0,-119.99999999999686,10.0,-113.21666666666427,13.0
6,10333.0,-113.99999999999743,12.0,-113.328571428569,12.857142857142858
7,11833.0,-98.99999999999818,17.0,-111.53749999999765,13.375
8,13333.0,-110.99999999999748,13.0,-111.47777777777542,13.333333333333334
9,14833.0,-107.99999999999733,14.0,-111.12999999999761,13.4
10,16333.0,-119.99999999999712,10.0,-111.9363636363612,13.090909090909092
11,17833.0,-107.9999999999977,14.0,-111.6083333333309,13.166666666666666
12,19333.0,-107.99999999999743,14.0,-111.33076923076679,13.23076923076923
13,20833.0,-104.99999999999706,15.0,-110.87857142856896,13.357142857142858
14,22333.0,-110.99999999999704,13.0,-110.88666666666417,13.333333333333334
15,23833.0,-107.99999999999727,14.0,-110.70624999999748,13.375
16,25333.0,-104.99999999999731,15.0,-110.37058823529159,13.470588235294118
17,26833.0,-104.99999999999775,15.0,-110.07222222221971,13.555555555555555
18,28293.0,-124.99999999999814,17.0,-110.85789473683963,13.736842105263158
19,29793.0,-113.99999999999689,12.0,-111.01499999999749,13.65
20,31293.0,-98.99999999999781,17.0,-110.56499999999748,13.8
21,32793.0,-104.9999999999977,15.0,-110.26499999999749,13.9
22,34293.0,-113.99999999999704,12.0,-110.26499999999751,13.9
23,35516.0,-101.30000000000055,17.0,-109.86499999999758,13.85
24,37016.0,-113.99999999999727,12.0,-109.71499999999757,13.9
25,38516.0,-104.9999999999978,15.0,-108.96499999999762,14.15
26,40016.0,-98.99999999999706,17.0,-108.2149999999976,14.4
27,41462.0,-123.59999999999913,17.0,-109.44499999999766,14.4
28,42962.0,-104.99999999999747,15.0,-109.14499999999764,14.5
29,44462.0,-107.99999999999721,14.0,-109.14499999999764,14.5
30,45962.0,-104.99999999999777,15.0,-108.39499999999767,14.75
31,47462.0,-104.99999999999763,15.0,-108.24499999999769,14.8
32,48962.0,-98.99999999999798,17.0,-107.79499999999769,14.95
33,50462.0,-113.99999999999724,12.0,-108.2449999999977,14.8
34,51790.0,-111.79999999999983,17.0,-108.28499999999784,15.0
35,53290.0,-89.99999999999874,20.0,-107.38499999999792,15.3
36,54790.0,-107.99999999999717,14.0,-107.5349999999979,15.25
37,56290.0,-101.99999999999767,16.0,-107.3849999999979,15.3
38,57790.0,-104.99999999999774,15.0,-106.38499999999787,15.2
39,58910.0,-85.00000000000102,19.0,-104.9349999999981,15.55
40,60410.0,-98.99999999999847,17.0,-104.93499999999813,15.55
41,61910.0,-107.99999999999791,14.0,-105.08499999999815,15.5
42,63245.0,-109.49999999999976,18.0,-104.85999999999828,15.8
43,64641.0,-115.49999999999994,18.0,-105.56999999999823,15.85
44,66141.0,-101.99999999999744,16.0,-104.96999999999825,16.05
45,67641.0,-92.99999999999878,19.0,-104.3699999999983,16.25
46,69141.0,-98.99999999999766,17.0,-104.36999999999833,16.25
47,70474.0,-112.29999999999957,17.0,-103.80499999999836,16.25
48,71919.0,-123.49999999999861,17.0,-104.7299999999984,16.35
49,72704.0,-54.50000000000002,18.0,-102.05499999999854,16.55
50,73913.0,-99.90000000000065,17.0,-101.79999999999869,16.65
51,75139.0,-98.60000000000053,18.0,-101.47999999999884,16.8
52,76147.0,-76.80000000000081,18.0,-100.36999999999897,16.85
53,77580.0,-122.29999999999882,17.0,-100.78499999999906,17.1
54,79020.0,-122.99999999999922,17.0,-101.34499999999903,17.1
55,79882.0,-71.20000000000022,15.0,-100.40499999999909,16.85
56,80903.0,-75.10000000000076,19.0,-98.75999999999928,17.1
57,82403.0,-63.000000000001414,29.0,-96.80999999999946,17.75
58,83296.0,-62.30000000000081,19.0,-94.67499999999961,17.95
59,84380.0,-87.40000000000077,17.0,-94.7949999999996,17.85
60,85378.0,-72.80000000000061,19.0,-93.48499999999972,17.95
61,86694.0,-110.59999999999974,17.0,-93.61499999999981,18.1
62,87599.0,-69.50000000000065,17.0,-91.61499999999985,18.05
63,88714.0,-90.50000000000088,17.0,-90.3649999999999,18.0
64,90197.0,-28.300000000001297,30.0,-86.68000000000009,18.7
65,91075.0,-63.80000000000047,18.0,-85.22000000000017,18.65
66,91867.0,-52.20000000000041,19.0,-82.88000000000031,18.75
67,92826.0,24.0999999999997,30.0,-76.06000000000036,19.4
68,94009.0,1.6999999999993065,30.0,-69.80000000000045,20.05
69,95000.0,-75.10000000000066,18.0,-70.83000000000048,20.05
70,95671.0,-46.099999999999866,17.0,-68.14000000000044,20.05
71,96356.0,-44.49999999999984,18.0,-65.43500000000041,20.05
72,96804.0,-23.799999999999848,17.0,-62.785000000000366,20.0
73,97816.0,-80.20000000000076,17.0,-60.68000000000046,20.0
74,98709.0,-65.3000000000006,18.0,-57.79500000000053,20.05
75,100209.0,-98.99999999999869,17.0,-59.18500000000046,20.15
76,100997.0,-54.80000000000012,18.0,-58.17000000000043,20.1
77,101456.0,-21.89999999999991,18.0,-56.11500000000035,19.55
78,102123.0,-42.69999999999994,18.0,-55.13500000000031,19.5
79,103010.0,-67.70000000000039,17.0,-54.15000000000028,19.5
80,103905.0,-65.5000000000006,18.0,-53.78500000000029,19.45
81,104698.0,-58.30000000000038,17.0,-51.170000000000314,19.45
82,106198.0,-101.99999999999761,16.0,-52.795000000000165,19.4
83,107314.0,-87.60000000000105,18.0,-52.65000000000017,19.45
84,107876.0,-29.199999999999857,19.0,-52.69500000000009,18.9
85,108559.0,-41.2999999999998,19.0,-51.57000000000007,18.95
86,109606.0,15.299999999999187,30.0,-48.195000000000086,19.5
87,111106.0,-69.0000000000004,27.0,-52.850000000000094,19.35
88,111788.0,-41.19999999999994,19.0,-54.99500000000006,18.8
89,112570.0,-57.20000000000021,17.0,-54.10000000000002,18.75
90,113578.0,-43.699999999999875,29.0,-53.98000000000003,19.35
91,114360.0,-54.200000000000124,18.0,-54.465000000000046,19.35
92,115465.0,-86.50000000000087,18.0,-57.6000000000001,19.4
93,116244.0,-53.90000000000036,18.0,-56.28500000000007,19.45
94,117093.0,-39.7999999999999,25.0,-55.01000000000005,19.8
95,117551.0,-21.799999999999933,18.0,-51.150000000000105,19.85
96,118104.0,-28.29999999999998,19.0,-49.82500000000009,19.9
97,118660.0,-28.599999999999962,19.0,-50.160000000000096,19.95
98,119330.0,-42.999999999999865,18.0,-50.1750000000001,19.95
99,120142.0,-78.2000000000003,11.0,-50.70000000000009,19.65
100,120361.0,-21.799999999999923,10.0,-48.51500000000006,19.25
101,121152.0,-55.100000000000335,18.0,-48.355000000000054,19.3
102,122365.0,-97.20000000000029,18.0,-48.115000000000194,19.4
103,122722.0,-14.699999999999987,17.0,-44.470000000000134,19.35
104,122943.0,1.899999999999885,18.0,-42.91500000000015,19.3
105,124038.0,-88.50000000000078,17.0,-45.2750000000002,19.2
106,124469.0,-19.099999999999895,18.0,-46.995000000000154,18.6
107,124919.0,-20.999999999999986,18.0,-44.59500000000013,18.15
108,125474.0,-34.49999999999987,17.0,-44.260000000000126,18.05
109,126477.0,19.700000000000255,30.0,-40.415000000000106,18.7
110,127165.0,-41.799999999999905,19.0,-40.32000000000011,18.2
111,127420.0,-4.499999999999993,17.0,-37.8350000000001,18.15
112,128060.0,-18.899999999999814,25.0,-34.455000000000055,18.5
113,128744.0,-44.399999999999864,18.0,-33.980000000000025,18.5
114,129644.0,-60.00000000000039,20.0,-34.99000000000005,18.25
115,130415.0,-53.09999999999994,18.0,-36.55500000000005,18.25
116,131240.0,-37.3999999999999,25.0,-37.01000000000005,18.55
117,131819.0,-33.89999999999992,18.0,-37.27500000000004,18.5
118,132494.0,-40.49999999999989,19.0,-37.15000000000004,18.55
119,132956.0,-25.199999999999978,17.0,-34.50000000000003,18.85
120,133303.0,-13.699999999999989,17.0,-34.09500000000003,19.2
121,133863.0,-34.99999999999995,17.0,-33.09000000000001,19.15
122,134656.0,-58.30000000000023,17.0,-31.145000000000003,19.1
123,135333.0,-40.69999999999993,19.0,-32.44500000000001,19.2
124,136739.0,-128.59999999999854,14.0,-38.96999999999993,19.0
125,137789.0,14.999999999999591,30.0,-33.79499999999991,19.65
126,138353.0,-32.4,18.0,-34.45999999999991,19.65
127,139141.0,41.19999999999921,30.0,-31.349999999999948,20.25
128,140641.0,-104.99999999999814,15.0,-34.87499999999987,20.15
129,141066.0,-24.4999999999999,16.0,-37.08499999999987,19.45
130,141527.0,-22.00000000000018,18.0,-36.094999999999885,19.4
131,141856.0,-5.900000000000116,19.0,-36.16499999999989,19.5
132,142296.0,-19.999999999999854,18.0,-36.21999999999989,19.15
133,142611.0,-7.400000000000027,18.0,-34.369999999999905,19.15
134,143066.0,-24.500000000000185,17.0,-32.59499999999989,19.0
135,143766.0,-67.00000000000014,11.0,-33.28999999999991,18.65
136,144099.0,-9.299999999999912,18.0,-31.8849999999999,18.3
137,144655.0,-31.599999999999863,18.0,-31.769999999999904,18.3
138,145427.0,-56.200000000000095,17.0,-32.55499999999991,18.2
139,146003.0,-24.499999999999808,21.0,-32.519999999999904,18.4
140,146782.0,-53.90000000000006,18.0,-34.5299999999999,18.45
141,147021.0,3.099999999999909,19.0,-32.62499999999991,18.55
142,147971.0,24.99999999999976,30.0,-28.459999999999916,19.2
143,148213.0,-3.200000000000081,17.0,-26.584999999999923,19.1
144,148873.0,-41.99999999999981,18.0,-22.254999999999985,19.3
145,149205.0,-12.199999999999903,17.0,-23.61499999999996,18.65
146,149411.0,99.39999999999995,30.0,-17.02499999999996,19.25
147,149884.0,3.7999999999996987,27.0,-18.89499999999994,19.1
148,150237.0,-8.300000000000125,19.0,-14.06000000000004,19.3
149,150982.0,-65.50000000000011,13.0,-16.11000000000005,19.15
150,151924.0,25.799999999999308,30.0,-13.720000000000073,19.75
151,152110.0,11.499999999999915,20.0,-12.850000000000074,19.8
152,152559.0,-17.900000000000002,19.0,-12.74500000000008,19.85
153,152884.0,-8.500000000000007,18.0,-12.800000000000079,19.85
154,153214.0,-12.0,17.0,-12.17500000000007,19.85
155,153576.0,20.899999999999658,29.0,-7.780000000000079,20.75
156,153816.0,-3.0000000000001847,17.0,-7.465000000000093,20.7
157,154247.0,-13.100000000000158,20.0,-6.5400000000001075,20.8
158,154595.0,-13.800000000000196,17.0,-4.420000000000114,20.8
159,154933.0,-9.799999999999969,18.0,-3.685000000000121,20.65
160,155526.0,-14.200000000000163,25.0,-1.700000000000126,21.0
161,155804.0,92.19999999999976,30.0,2.7549999999998667,21.55
162,156012.0,0.19999999999991047,17.0,1.514999999999874,20.9
163,156341.0,-8.900000000000134,18.0,1.2299999999998714,20.95
164,156771.0,76.99999999999957,30.0,7.179999999999841,21.55
165,157007.0,3.399999999999878,19.0,7.9599999999998285,21.65
166,157276.0,93.0999999999998,30.0,7.644999999999823,21.65
167,158242.0,23.39999999999965,30.0,8.624999999999819,21.8
168,158472.0,-2.0000000000001315,17.0,8.939999999999818,21.7
169,158721.0,-3.9000000000000057,17.0,12.019999999999824,21.9
170,158944.0,1.6999999999998394,18.0,10.814999999999852,21.3
171,159314.0,-13.00000000000022,18.0,9.589999999999844,21.2
172,159525.0,98.8999999999999,30.0,15.429999999999842,21.75
173,159873.0,-7.799999999999997,19.0,15.464999999999842,21.8
174,160070.0,13.399999999999935,21.0,16.734999999999836,22.0
175,160296.0,7.3999999999997925,20.0,16.059999999999846,21.55
176,160772.0,6.499999999999595,28.0,16.534999999999833,22.1
177,160998.0,-1.5999999999999943,17.0,17.10999999999984,21.95
178,161523.0,67.49999999999956,30.0,21.17499999999983,22.6
179,161649.0,8.399999999999935,17.0,22.084999999999827,22.55
180,161941.0,90.79999999999976,30.0,27.33499999999982,22.8
181,162193.0,-4.200000000000006,17.0,22.514999999999834,22.15
182,162430.0,-2.700000000000067,17.0,22.369999999999834,22.15
183,162659.0,10.19999999999984,21.0,23.324999999999832,22.3
184,163076.0,78.29999999999956,30.0,23.38999999999983,22.3
185,163427.0,-8.100000000000186,19.0,22.814999999999827,22.3
186,163766.0,86.09999999999968,30.0,22.464999999999822,22.3
187,164196.0,76.99999999999977,30.0,25.14499999999983,22.3
188,164509.0,-7.2999999999999545,18.0,24.879999999999836,22.35
189,164871.0,5.899999999999892,24.0,25.369999999999834,22.7
190,165100.0,1.1000000000000014,18.0,25.33999999999984,22.7
191,165316.0,5.3999999999998565,19.0,26.25999999999984,22.75
192,165563.0,95.29999999999983,30.0,26.079999999999842,22.75
193,165785.0,1.7999999999998906,18.0,26.55999999999983,22.7
194,166022.0,3.299999999999848,19.0,26.05499999999983,22.6
195,166260.0,0.1999999999999602,18.0,25.69499999999984,22.5
196,166486.0,1.3999999999999062,18.0,25.439999999999852,22.0
197,166821.0,86.49999999999969,30.0,29.84499999999984,22.65
198,167608.0,-54.700000000000365,18.0,23.734999999999843,22.05
199,167847.0,3.0999999999999304,19.0,23.46999999999984,22.15
200,168078.0,3.8999999999997854,19.0,19.124999999999844,21.6
201,168305.0,-1.7000000000000668,17.0,19.24999999999984,21.6
202,168682.0,-7.700000000000308,20.0,18.999999999999826,21.75
203,168935.0,-4.300000000000139,17.0,18.274999999999828,21.55
204,169161.0,1.3999999999998067,18.0,14.429999999999842,20.95
205,169518.0,12.399999999999714,26.0,15.454999999999837,21.3
206,169744.0,4.399999999999935,19.0,11.369999999999848,20.75
207,169988.0,-3.400000000000073,17.0,7.349999999999857,20.1
208,170333.0,-10.500000000000103,18.0,7.18999999999985,20.1
209,170558.0,1.4999999999999076,18.0,6.96999999999985,19.8
210,170904.0,-10.600000000000051,18.0,6.384999999999847,19.8
211,171453.0,-15.800000000000475,23.0,5.3249999999998305,20.0
212,171796.0,-13.299999999999898,17.0,-0.10500000000015541,19.35
213,172151.0,84.49999999999986,30.0,4.029999999999843,19.95
214,172368.0,-0.7000000000001663,17.0,3.829999999999842,19.85
215,172704.0,-6.600000000000236,19.0,3.4899999999998315,19.9
216,173346.0,-28.100000000000456,22.0,2.0149999999998145,20.1
217,173573.0,10.399999999999892,21.0,-1.7900000000001755,19.65
218,173701.0,8.199999999999932,17.0,1.3549999999998394,19.6
219,174540.0,-50.80000000000048,21.0,-1.340000000000181,19.7
220,174766.0,19.499999999999794,24.0,-0.5600000000001806,19.95
221,174992.0,-1.6000000000001222,17.0,-0.5550000000001833,19.95
222,175221.0,-1.90000000000002,17.0,-0.265000000000169,19.8
223,175679.0,74.19999999999958,30.0,3.6599999999998167,20.45
224,176026.0,-10.70000000000028,18.0,3.0549999999998123,20.45
225,176231.0,12.59999999999993,21.0,3.064999999999823,20.2
226,176430.0,19.199999999999896,23.0,3.804999999999821,20.4
227,176658.0,1.199999999999978,18.0,4.034999999999824,20.45
228,176865.0,9.39999999999992,20.0,5.029999999999825,20.55
229,177100.0,3.499999999999865,19.0,5.129999999999823,20.6
230,177397.0,90.2999999999997,30.0,10.17499999999981,21.2
231,177632.0,-2.500000000000057,17.0,10.839999999999831,20.9
232,177854.0,13.899999999999913,22.0,12.199999999999822,21.15
233,178199.0,-10.500000000000139,18.0,7.4499999999998225,20.55
234,178378.0,15.19999999999991,21.0,8.244999999999825,20.75
235,178751.0,-10.200000000000365,19.0,8.06499999999982,20.75
236,178981.0,3.9999999999998934,19.0,9.669999999999837,20.6
237,179255.0,-0.3000000000002103,19.0,9.134999999999831,20.5
238,179598.0,-10.300000000000267,18.0,8.209999999999821,20.55
239,179904.0,89.39999999999984,30.0,15.219999999999839,21.0
240,180195.0,15.999999999999702,25.0,15.044999999999831,21.05
241,180545.0,4.099999999999767,23.0,15.329999999999828,21.35
242,180786.0,-0.10000000000017195,18.0,15.41999999999982,21.4
243,180972.0,11.499999999999915,20.0,12.284999999999837,20.9
244,181105.0,13.699999999999932,19.0,13.504999999999848,20.95
245,181440.0,-6.400000000000151,19.0,12.554999999999842,20.85
246,181774.0,-0.3000000000002956,21.0,11.579999999999833,20.75
247,181990.0,8.399999999999864,20.0,11.939999999999827,20.85
248,182212.0,1.7999999999998977,18.0,11.559999999999826,20.75
249,182420.0,99.19999999999996,30.0,16.344999999999832,21.3
250,183122.0,-37.10000000000035,21.0,9.97499999999983,20.85
251,183784.0,-39.10000000000041,19.0,8.144999999999811,20.95
252,183961.0,6.399999999999906,18.0,7.7699999999998095,20.75
253,184164.0,12.79999999999982,21.0,8.934999999999809,20.9
254,184400.0,0.3999999999998849,18.0,8.194999999999807,20.75
255,184583.0,17.799999999999898,22.0,9.59499999999982,20.9
256,184712.0,8.099999999999945,17.0,9.799999999999823,20.8
257,184848.0,7.399999999999942,17.0,10.18499999999983,20.7
258,185074.0,-1.6000000000000973,17.0,10.61999999999984,20.65
259,185478.0,79.59999999999965,30.0,10.12999999999983,20.65
260,185696.0,98.1999999999999,30.0,14.239999999999839,20.9
261,185826.0,7.999999999999936,17.0,14.43499999999985,20.6
262,186078.0,1.8999999999999133,19.0,14.534999999999851,20.65
263,186605.0,-31.700000000000138,17.0,12.37499999999985,20.5
264,186807.0,6.899999999999913,19.0,12.03499999999985,20.5
265,187022.0,8.599999999999909,20.0,12.784999999999851,20.55
266,187261.0,9.199999999999832,21.0,13.25999999999986,20.55
267,187490.0,7.199999999999797,20.0,13.199999999999855,20.55
268,187668.0,24.299999999999876,24.0,14.324999999999855,20.85
269,187909.0,2.8999999999997854,19.0,9.509999999999845,20.3
270,188129.0,1.9999999999998792,18.0,11.464999999999858,20.15
271,188394.0,0.4999999999997513,19.0,13.444999999999865,20.15
272,188711.0,-1.6000000000001364,20.0,13.044999999999863,20.25
273,189175.0,-10.30000000000048,22.0,11.889999999999848,20.3
274,189582.0,-16.600000000000403,18.0,11.039999999999834,20.3
